Rank,Title,Year of release,Number of Episodes,Rating,Description,Genre,Tags,Actors,,
#94,Good Manager,2017,20,8.6,"Can corporate politics turn a bad person into a good person? Kim Sung Ryong is a skilled accountant who works for gangsters. He makes his way into a company called TQ Group as a middle manager in the accounting department with the intention of embezzling money from the company. As he contends with hot-shot accountant Yoon Ha Kyung, financial prodigy Seo Yul and peppy intern Hong Ga Eun, Sung Ryong finds himself embroiled in office politics and notices other shenanigans by those in power that threaten to bring down the company. Sung Ryong slowly comes to realize that he?ôd rather fight against corporate corruption and fight for employees??rights than complete the mission he originally came to do. Can he succeed at his new objective against all odds?","Business,  Comedy,  Crime,  Drama ","Eccentric Male Lead, Corruption, Bromance, Social Satire, Smart Male Lead, Revenge, Accountant, Enemy Mine, Smart Female Lead, Strong Female Lead","Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",,
#95,The King of Pigs,2022,12,8.6,"Two friends meet up and recall their experiences as victims of school bullying when they receive a message from a friend from 20 years ago and mysterious serial killings begin to occur. Kyung Min lives with the trauma of the school violence he experienced twenty years ago and an unexpected case causes his suppressed emotions to reappear. Meanwhile, Detective Jong Suk receives a mysterious message sent from a friend from 20 years ago which reminds him of the school violence that took place back then. Chasing the mysterious message, he tries to put a stop to the murders. Through these characters with tragic fates, the drama touches on the origin of school violence and the bullying that pervades modern society.","Thriller, Mystery, Drama","School Bullying, Detective Male Lead, Detective Female Lead, School Violence, Flashback To Past, Revenge, Gore, Murder, Childhood Trauma, Extreme Violence","Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo",,
#96,Big Mouth,2022,16,8.6,"Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison. Go Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has strong personality and will do anything to prove the innocence of her husband and help solve the case the Mayor has given to her husband. Will Go Mi Ho be successful in proving her husband's innocence? Or, will her investigations lead to opening a can of worms?","Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Murder, Brave Female Lead, Hardship, Greed, Wrongfully Accused, Mistaken Identity","Lee Jong Suk, Im Yoon Ah, Kim Joo Heon, Kwak Dong Yeon, Yang Kyung Won, Ok Ja Yeon",,
#97,Go Back Couple,2017,12,8.6,"38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.","Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ","Time Travel, Love/Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, 1990s, Failing Marriage, Married Couple, Sassy Female Lead, Sismance","Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol",,
#98,Empress Ki,2013,51,8.6,"Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow overcame her lowly status to become the last  empress in another land. Her name was Empress Ki.","Historical,  Romance,  Melodrama,  Political ","Smart Female Lead, Strong Female Lead, Power Struggle, Possessive Male Lead, Love Triangle, Female Warrior, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty","Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung",,
#99,My Father is Strange,2017,52,8.6,"This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo is the father and His wife, Na Yeong Shil is a dedicated, responsible mother to his three daughters and one son including Hye Yeong, Mi Yeong, Ra Yeong, and Joon Young. Suddenly one day, Ahn Joong Hee shows up at the household and declares that he is the son of the family. Joong Hee is an actor who used to be a member of an idol group. He begins to live with them.","Comedy,  Romance,  Drama,  Family ","Family Secret, Sisterhood, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship","Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",,
#100,High School Return of a Gangster ,2024,8,8.6,"Kim Deuk Pal, a 47-year-old gangster and #2 in his gang, dreams of attending university despite his lack of education. After encountering a suicidal high school student, Song Yi Heon, Deuk Pal's spirit possesses Yi Heon's body. Deuk Pal learns that Yi Heon is bullied, leading him to seek revenge on the bullies. In Yi Heon's body, Deuk Pal befriends classmate Choi Se Kyung, a model student hiding his own struggles with domestic violence.","Life, Youth, Fantasy","Gangster Male Lead, School Bullying, Censored Adaptation Of Same-sex Original Work, Character Development, Body Swap, Friendship, Student Male Lead, School Setting, School Friends' Relationship, Middle-Aged Male Lead ","Yoon Chan Young, Bong Jae Hyun, Lee Seo Jin, Seo Tae Hwa",,
#101,Once Again,2020,100,8.6,"""Once Again"" is the story of the eventful Song family who can?ôt get a day of peace and their neighbors in Yongju Market. ","Comedy,  Romance,  Drama,  Family ","Divorce, Family Relationship, Multiple Couples, Multiple Mains, Marriage, Slice Of Life, Married Couple, Age Gap, Sibling, Secret Relationship","Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob",,
#102,Missing,2020,12,8.6,"A village holds spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs.","Thriller,  Mystery,  Supernatural ","Con Artist, Ghost-seeing Male Lead, Spirit, Missing Person, Detective, Hacker, Bromance, Social Justice, Righteous Male Lead, Death","Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",,
#103,Stranger 2,2020,16,8.6,"The prosecutor's office and the police find themselves on opposing sides. The prosecutors, including elite prosecutor Woo Tae Ha, want discretionary power over investigations. Meanwhile, the police, including Choi Bit, tries to get complete investigative authority that is independent of the prosecutor's office.","Thriller,  Mystery,  Law,  Drama ","Corruption, Calm Male Lead, Smart Male Lead, Suspense, Emotional Blunting, Power Struggle, Strong Female Lead, Strong Male Lead, Policewoman, Alexithymia","Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah",,
#104,Designated Survivor,2019,16,8.6,"Park Moo Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the president and ministers. Park Moo Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Moo Jin chases after the person or group responsible for the attack as he grows as a national leader.","Thriller,  Mystery,  Drama,  Political ","Power Struggle, Conspiracy, Blue House, Lying, Social Commentary, Terrorism, Deception, National Intelligence Service, National Assembly, Death","Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young",,
#105,Juvenile Justice,2022,10,8.6,"Sim Eun Seok is an elite judge with a prickly personality who hates juvenile offenders. After she gets assigned to a local juvenile court, she tries to balance her aversion to minor offenders with firm beliefs on justice and punishment, as she goes out of her way to break custom and administer her own ways of punishing the offenders.","Law, Drama","Hardworking Female Lead, Strong Female Lead, Tough Female Lead, Kind Male Lead, Hardworking Male Lead, Redemption, Violence, Runaway Teenager, Justice System, Web Series","Kim Hye Soo, Kim Mu Yeol, Lee Sung Min, Lee Jung Eun, Lee Sang Hee, Park Ji Yun",,
#106,Cruel City,2013,20,8.6,Portrays the cruel life of the drug cartels and the story of revenge for a loved one.,"Action,  Thriller,  Romance,  Crime ","Badass Male Lead, Gang, Bromance, Strong Female Lead, Gangster, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Drug Dealer","Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi, Choi Moo Sung",,
#107,My Perfect Stranger ,2023,16,8.6,"Yun Hae Jun, the youngest anchor at his broadcasting station, and Baek Yun Yeong, a publishing company employee who once dreamed of being a writer, travel back in time to 1987. In the past, Yun Hae Jun investigates a serial murder case, while Baek Yun Yeong tries to stop her parents' marriage. They soon discover their goals are linked.","Mystery, Romance, Drama, Sci-Fi","Murder, Time Travel, Investigation, 1980s, Death, Calm Male Lead, Smart Male Lead, Age Gap [Drama Life], Age Gap [Real Life], News Presenter Male Lead ","Kim Dong Wook, Jin Ki Joo, Seo Ji Hye, Lee Won Jung",,
#108,My Love from the Star,2013,21,8.6,"Do Min Joon is an alien who landed on Earth 400 years ago during the Joseon Dynasty period. He possesses a near perfect appearance and enhanced physical abilities involving his vision, hearing and speed. Later, he discovers that he has three months left on Earth. And that is when he meets Cheon Song Yi, the biggest Hallyu star in Korea.","Comedy,  Romance,  Drama,  Supernatural ","Alien, Interspecies Romance, Famous Actress, Celebrity, Professor, Sassy Female Lead, Superhuman Strength, Time Manipulation, Cyberbullying, Star Crossed Lovers","Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan",,
#109,Mystic Pop-Up Bar,2020,12,8.6,?úMystic Pop-Up Bar??is based on a popular webtoon of the same name and tells the story of a mysterious pojangmacha (outdoor drinking establishment) run by a prickly woman and an innocent part-timer who visit customers in their dreams to help resolve their problems.,"Mystery,  Comedy,  Family,  Fantasy ","Afterlife, Tragic Past, Grudge, Hot-tempered Female Lead, Spirit, Adapted From A Webtoon, Special Power, Family Relationship, Flashback To Past, Food","Hwang Jung Eum, Yook Sung Jae, Choi Won Young, Jung Da Eun, Lee Joon Hyuk, Na In Woo",,
#110,Age of Youth,2016,12,8.6,"Five girls in their twenties come to live together in a house called ""Belle Epoque,"" which means ""a beautiful time"" in French. Each girl has a particular personality, background, and issues. In addition to the five girls, they believe there is a sixth presence - a ghost living in the house, but each sees the ghost differently. As the girls feel a bond of sympathy and become closer, they also deal with their personal issues as they live out their eventful twenties. The drama follows their struggles and incidents dealing with relationships - within their circles, with dating, and with each other - and a variety of events they are experiencing including credits, part-time jobs, drinking, hopes and dreams.","Friendship,  Romance,  Life,  Youth ","Housemates, Female Centered Plot, Sismance, Multiple Mains, College Life, Coming Of Age, Strong Female Lead, Strong Female Characters, Hardworking Female Lead, Multiple Couples","Han Ye Ri, Ryu Hwa Young, Park Eun Bin, Han Seung Yeon, Park Hye Soo, Yoon Park",,
#111,Just Between Lovers,2017,16,8.6,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever. ","Psychological,  Romance,  Melodrama ","Trauma, Healing, Survivor Guilt, Hardworking Female Lead, Strong Female Lead, Tearjerker, Hardworking Male Lead, Phobia, Disaster, Poor Male Lead","Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na, Kim Hye Joon, Yoon Se Ah",,
#112,Save Me,2017,16,8.6,"Following the failure of her father's business, Sang Mi and her family move to Muji-gun where they have no friends or relatives. There she meets four young men, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, and Choi Man Hee. When Sang Mi and her family face some trouble, Spiritual Father Baek Jung Ki of Goosunwon offers to help them. However, her family is slowly getting sucked into the pseudo-religious cult and the four young men try to save her.","Action,  Thriller,  Mystery,  Drama ","Cult, Adapted From A Webtoon, Church, Strong Female Lead, Bromance, School Bullying, Smart Female Lead, Deception, Strong Male Lead, Ex-convict","Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha, Jo Jae Yoon, Park Ji Young",,
#113,Bad and Crazy,2021,12,8.6,"Soo Yeol, the competent ?òbad boy??on the police squad, regains his humanity after meeting K, the righteous but ?òcrazy??guy. Despite having a mere high school diploma, Soo Yeol is an accomplished member of the Anti Corruption Unit. He?ôs ambitious, so he chooses pet cases of his superiors and produces their desired outcomes. Often that means turning a blind eye to injustice, especially if it stands in the way of those preferred results. With promotion time looming and without anyone?ôs backing, Soo Yeol fears exclusion once again. Congressman Do Yoo Gon had given him some hope of advancement but dashed when the righteous but crazy K entered his life. What can go wrong when the bad boy and the crazy guy join forces?","Action, Thriller, Mystery, Comedy","Injustice, Corruption, Investigation, Eccentric Male Lead, Strong Male Lead, Antihero, Strong Female Lead, Slight Romance, Bromance, Suspense","Lee Dong Wook, Wi Ha Joon, Han Ji Eun, Cha Hak Yeon, Sung Ji Ru, Cha Shi Won",,
#114,365,2020,24,8.6,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.","Thriller,  Mystery,  Drama,  Fantasy ","Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Detective, Fate, Supernatural, Accident, Webtoon Writer","Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun",,
#115,The Master's Sun,2013,17,8.6,"Joo Joong Won is the stingy and greedy CEO of Kingdom, a conglomerate that includes a major department store and hotel. He meets the gloomy Tae Gong Shil, who started seeing ghosts after an accident. Their lives take a new turn as they work together to deal with the terror and sadness brought about by the spirits, while delving into a kidnapping incident in Joong Won's past. And unknowingly, they fell in love with each other. Edit Translation  English Fran√ßais Espa√±ol Portugu√™s","Horror,  Comedy,  Romance,  Supernatural ","Ghost, Eccentric Female Lead, Rich Male Lead, Clingy Female Lead, Successful Male Lead, Obsession, Tragic Past, Trauma, Secondary Couple, Eccentric Male Lead","Gong Hyo Jin, So Ji Sub, Seo In Guk, Kim Yoo Ri, Choi Jung Woo, Kim  Mi Kyung",,
#116,Avengers Social Club,2017,12,8.6,"Features three women from different walks of life coming together for revenge: a middle-aged fish store owner who envisioned a better life for herself, a housewife, and an heiress who was raised like a delicate greenhouse flower. They?ôre an unlikely trio who would never otherwise meet, but they join forces to carry out their individual revenge. Although they start out as co-conspirators, along the way they?ôll build a strong friendship.","Friendship,  Comedy,  Life,  Drama ","Revenge, Sismance, Female Centered Plot, Strong Female Lead, Strong Female Characters, Healing, Smart Male Lead, Mother-Son Relationship, Mother-Daughter Relationship, Tragic Past","Lee Yo Won, Ra Mi Ran, Myung Se Bin, Lee Jun Young, Choi Byung Mo, Jang Yong",,
#117,Rebel,2017,30,8.5,"?úThe culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty.??There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.","Action,  Thriller,  Historical,  Romance ","Rebellion, Joseon Dynasty, Strong Male Lead, Smart Male Lead, Corruption, Slave, Discrimination, Bromance, Superhuman Strength, Revenge","Yoon Kyun Sang, Chae Soo Bin, Kim Ji Suk, Lee Ha Nee, Kim Sang Joong, Shim Hee Sub",,
#118,Chief Detective 1958,2024,10,8.5,"In 2023, 92-year-old Park Yeong Han, once a revered detective known as the ""Columbo of Korea,"" visits Jongnam Police Station to check on his grandson, Park Jun Seo, a rookie cop. The story shifts to Park Yeong Han's early years in 1958, where he earned fame as a crimefighter in Gyeonggi Province. After transferring to Seoul's Jongnam station, he confronts a powerful gang controlled by political connections and corruption. Undeterred, he uses his wit and experience to uncover smuggling operations and confront the systemic issues plaguing the police force.","Action, Thriller, Historical, Comedy","Police Department Setting, Fight For Justice, Righteous Male Lead, Police Corruption, Historical Fiction, Teamwork, Bromance, Detective Fiction, Detective Male Lead, Confident Male Lead","Lee Je Hoon, Lee Dong Hwi, Choi Woo Sung, Yoon Hyun Soo, Seo Eun Soo",,
#119,Nobody Knows,2020,16,8.5,"Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer that murdered her friend 19 years ago. She carries guilt and trauma over the event. She has no friends and lives alone. Her downstairs neighbor?ôs son, Eun Ho, has built a relationship with her ever since she moved above their apartment. He does menial house chores for her. One day Eun Ho, seems to have fallen off the roof of their apartment building and left in a coma. Young Jin senses foul play and decides to take it upon herself to get to the bottom of it. With the help of Eun Ho?ôs homeroom teacher, Sun Woo, the both begin to uncover that Eun Ho?ôs injuries were no accident. Edit Translation  English ????–∫–∏–π Italiano Espa√±ol","Thriller,  Mystery,  Drama,  Melodrama ","Strong Female Lead, Smart Female Lead, Unusual Friendship, Murder, Death, Strong Friendship, Guilt, Calm Female Lead, Serial Killer, Trauma","Kim Seo Hyung, Ryu Deok Hwan, Park Hoon, Ahn Ji Ho, Min Jin Woong, Kang Ye Won",,
#120,Bad Guys,2014,11,8.5,"To combat rising violent crimes, the Police Chief asks Detective Oh Goo Tak to form a team consisting of criminals. ","Action,  Thriller,  Psychological,  Crime ","Psychopath, Murder, Teamwork, Serial Killer, Strong Male Lead, Gangster, Smart Male Lead, Skilled Killer, Violence, Death","Kim Sang Joong, Park Hae Jin, Jo Dong Hyuk, Ma Dong Seok, Kang Ye Won, Kang Shin Il",,
#121,Beautiful World,2019,16,8.5,"This drama is about a boy on the edge of life and death, and his family's quest to find the truth.  Amidst the lies and secrets, mistrust and pain, the family looks for hope in this crazy world.  Mu Jin, is a teacher and a father. His wife, In Ha, runs 'Ho Ho Bakery' and they have a 9th-grade son and an 8th-grade daughter.  For the sake of their kids' education, they move to a different neighborhood. One day, at their new competitive school, Sun Ho gets into an accident, causing him to become brain dead.  The father and mother, filled with great guilt and rage because of the accident, investigate to find out what happened to cause the accident.  Su Ho, Sun Ho's baby sister, also sets out on her own to find out the truth behind her brother's accident.","Life,  School,  Family,  Melodrama ","School Bullying, Family Relationship, Coma, Tearjerker, Sibling, Student, Psychopath, High School, Married Couple, Strong Female Lead","Park Hee Soon , Choo Ja Hyun, Oh Man Suk, Cho Yeo Jung, Nam  Da Reum , Kim Hwan Hee",,
#122,Marry My Husband,2024,16,8.5,"Kang Ji Won?ôs marriage to Park Min Hwan is strained due to his selfishness, unemployment, and a domineering mother. Ji Won is the family's sole breadwinner and does all the household chores. When she is diagnosed with terminal cancer, her world shatters further as she discovers her husband?ôs affair with her close friend, Jung Soo Min. A confrontation leads to her tragic death at Min Hwan's hands. However, Ji Won wakes up 10 years in the past, before she married Min Hwan. Determined to change her fate, she plots to make Soo Min marry him instead. Meanwhile, Yoo Ji Hyeok, her colleague, secretly harbors feelings for Ji Won and conceals a hidden truth.","Comedy, Romance, Drama, Fantasy","Time Travel, Infidelity, Revenge, Gaslighting, Betrayal, Time Altering, Betrayed By A Friend, Male Chases Female First, Nice Female Lead, Cancer","Park Min Young, Na In Woo, Lee Yi Kyung, Song Ha Yoon",,
#123,Arthdal Chronicles Part 1,2019,6,8.5,"Set in the fictional land of Arthdal during ancient times(bronze age). Eun Seom was born with a fate to bring disaster to Arthdal, which leads him and his mother, who wants to save him, to endure hardships. Finally, they decide to leave and travel together to a better place. Although Eun Seom grows up in the new land, he is seen as an outcast because he is different from the land's natives. Ta Gon is a war hero of Arthdal. He has paved the way for Arthdal to become a prosperous city and nation and he is the strongest warrior in Arthdal. He dreams of becoming the first king of Arthdal.","Historical,  Romance,  Fantasy,  Political ","Power Struggle, Multiple Mains, Curse, Hidden Identity, Identical Twins, Strong Female Lead, War, Orphan Male Lead, Slavery, Shamanism","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Eui Sung, Lee Do Kyung",,
#124,Kairos,2020,16,8.5,"Living a precarious life as a part-timer at a convenience store, Ae Ri strives to support her mother who is on a waiting list for a heart transplant. Unfortunately, her mother?ôs worsened physical condition leads her to forgo the long-awaited opportunity for the transplant, and just like that her mother disappears. Things were already chaotic enough for Ae Ri when she receives a phone call from a strange man claiming to be from the same world but 31 days in the future. Ironically, he desperately asks Ae Ri for help. Seo Jin, a father and a husband of a close-knit family, has been living a successful life as the youngest person to become a director at a construction company. One day, it all crumbles down with the kidnapping of his daughter and his wife?ôs suicide. On the verge of breaking down, he is given an opportunity to restore everything that was lost under one condition, help from a strange woman. To bring his daughter and wife back to life, he makes a phone call as the clock strikes 10:33.","Action,  Thriller,  Drama,  Sci-Fi ","Time Altering, Past And Present, Hardworking Male Lead, Smart Male Lead, Family Secret, Rich Male Lead, Betrayal, Gaslighting, Different Timelines, Successful Male Lead","Shin Sung Rok, Lee Se Young, Ahn Bo Hyun, Nam Gyu Ri, Kang Seung Yoon, Jo Dong In",,
#125,I Hear Your Voice,2013,18,8.5,"Jang Hye Sung, a bold, sassy, thick-faced, comical, and a materialistic public defender who becomes a lawyer after overcoming poverty and painful memories from her childhood, comes to realization about society and justice after meeting Park Soo Ha, a 19-year-old boy who reads other people?ôs thoughts and Cha Kwan Woo, an innocent lawyer who lives a disciplined life. Jang Hye Sung is actually Soo Ha's first love after she gave a decisive testimony on his father's murder case 10 years ago and Soo Ha promised to protect her from the killer's threats. Meanwhile, Cha Kwan Woo is Jang Hye Sung's fellow lawyer, a cheerful and an idealistic former cop even though his character is a bit slow, he is nice and pleasant with a firm idea of his principles and justice. Together they will team up to find the justice in the courtroom and solve the toughest cases with less than 1% chance of winning.","Mystery,  Law,  Romance,  Supernatural ","Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Age Gap, Mind Reading, Cohabitation","Lee Jong Suk, Lee Bo Young, Yoon Sang Hyun, Lee Da Hee, Jung Woong In, Yoon Joo Sang",,
#126,What's Wrong with Secretary Kim,2018,16,8.5,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?","Friendship,  Business,  Comedy,  Romance ","Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Boss-Employee Relationship, Office Romance, Rich Male Lead, Calm Female Lead, Trauma, Smart Female Lead, Secretary","Park Min Young, Park Seo Joon, Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok",,
#127,Vagabond,2019,16,8.5,"Cha Dal Gun becomes an awakened tiger in the face of his nephew?ôs death in a mysterious plane crash. As an orphan himself, he had raised his nephew singlehandedly in place of his brother who had passed on. Triggered by the large-scale cover-up of the incident, he sets off on a journey to discover the truth. ","Action,  Thriller,  Mystery,  Crime ","Plane Crash, Revenge, National Intelligence Service, Corruption, Agent, Death Of A Child, Death, Spy, Strong Male Lead, Terrorist","Lee Seung Gi, Bae Suzy, Shin Sung Rok, Baek  Yoon Shik, Moon Sung Geun, Kim Min Jong",,
#128,One Ordinary Day,2021,8,8.5,"A drama that explores the criminal justice system from an extremely popular perspective through the fierce story of two men surrounding the murder of a woman. Hyun Soo, an ordinary college student, suddenly becomes the primary suspect in a murder case. Shin Joong Han is the only lawyer willing to help Kim Hyun Soo. Having just barely passed law school, Shin Joong Han's involvement in Kim Hyun Soo's case eventually takes his unremarkable life to new heights.","Thriller, Mystery, Law, Crime","Murder, Investigation, Brief Nudity, Sexual Content, Death, Student, Lawyer Male Lead, Drug Usage, Trial, Violence","Kim Soo Hyun, Cha Seung Won, Lee Seol, Kim Shin Rok, Kim Hong Pa, Kim Sung Gyu",,
#129,Reply 1997,2012,16,8.5,"Set in the 1990's, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that they're getting married.","Comedy,  Romance,  Life,  Family ","Childhood Friends, High School, 1990s, Strong Friendship, First Love, Best Friends, Friends To Lovers, Bromance, Love Square, Unrequited Love","Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon",,
#130,Doctor John,2019,32,8.5,"?úDoctor John??is a medical drama about doctors specializing in pain management. In a refreshing take on the genre, ?úDoctor John??will portray the doctors??search for the cause of their patients??mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime. ","Mystery,  Romance,  Life,  Medical ","Smart Male Lead, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, PTSD, Ex-convict, Secret, Trauma, Tragic Past","Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon",,
#131,"Hi Bye, Mama!",2020,16,8.5,"It's the story of a mother who died and begins a 49-day long project of reincarnation, and a husband who has barely begun to live a new life after overcoming the pain of losing his wife. Jo Kang Hwa is a skilled thoracic surgeon. After losing his wife four years ago, he had been working as a single father until he got married again two years ago. While he seems like a caring person, he does not offer a hand nor intervene when needed.","Romance, Drama, Melodrama, Supernatural","Mother-Daughter Relationship, Nice Female Lead, Death, Reincarnation, Sismance, Ghost, Heartbreak, Remarriage, Father-Daughter Relationship, Nice Stepmother","Kim Tae Hee, Lee Kyu Hyung, Go Bo Gyeol, Seo Woo Jin, Shin Dong Mi, Oh Eui Shik",,
#132,Voice,2017,16,8.5,"Popular detective Moo Jin Hyuk who is filled with guilt for his wife?ôs death, works with professional voice profiler Kang Kwon Joo, whose father is killed, to solve a different crime, chasing for the serial killer responsible for the deaths of their family members.","Thriller, Mystery, Psychological","Strong Female Lead, Murder, Aggressive Male Lead, Special Power, Mad Dog, Death, Investigation, Suspense, Policewoman, Character Development","Jang Hyuk, Lee  Ha Na, Baek Sung Hyun, Ye Sung, Son Eun Seo, Kim Jae Wook",,
#133,Fight For My Way,2017,16,8.5,Can you still go after your dreams without the right background?,"Business,  Comedy,  Romance,  Sports ","Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back","Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung",,
#134,Squid Game,2021,9,8.5,"After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ??5.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang Woo. Commencing the games, the participants soon learn of the deadly consequences that come with losing.","Action,  Thriller,  Mystery,  Drama ","Death, Death Game, Poor Male Lead, Extreme Violence, Debt, Gore, Competition, Game Show, Survival, Murder","Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo",,
#135,W,2016,16,8.5,"Oh Sung Moo, the father of cardiothoracic surgeon Oh Yeon Joo, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Joo goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Joo later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.","Thriller, Comedy, Romance, Fantasy","Parallel Dimension, Gun Violence, Crossworlds Traveler, Steamy Kiss, Rich Male Lead, Lovers Separated, Attempted Murder, Murder, Fight, Revenge","Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",,
